id,slug,title,status,priority,type,effort,source,reopened_count,rollback_commit,hotfix_for,escaped_defect,created_at,done_at
TCK-0001,compile-foundationmodels-apple,Compile foundationmodels_apple (Swift + SPM + Swift core path),done,high,feature,M,bootstrap,,,,,2026-08-10T21:45:00-03:00,2026-08-10T23:55:00-03:00
TCK-0002,upstream-u1-respond-stream,U1 — respondStream no ios-bridge (foundationmodels-js) + wiring plugin,done,high,feature,L,bootstrap,,,,,2026-08-10T21:45:00-03:00,2026-08-10T23:55:00-03:00
TCK-0003,upstream-u6-cancel,U6 — cancel in-process da geração + CancelToken no plugin,done,high,feature,M,bootstrap,,,,,2026-08-10T21:45:00-03:00,2026-08-10T23:55:00-03:00
TCK-0004,phase2-streaming-smoke-device,Phase 2 — smoke streaming on-device + parity evidence,blocked,high,feature,M,bootstrap,,,,,2026-08-10T21:45:00-03:00,
TCK-0005,unary-first-degrade-path,Path unary-first documentado até U1 (respond only),done,medium,feature,S,bootstrap,,,,,2026-08-10T21:45:00-03:00,2026-08-10T23:55:00-03:00
TCK-0006,example-host-app,Example host app mínimo (iOS/macOS) para smoke,done,medium,feature,M,bootstrap,,,,,2026-08-10T21:45:00-03:00,2026-08-10T23:55:00-03:00
TCK-0007,sync-continuation-archagents,Sincronizar CONTINUATION.md com .archagents (P7),done,low,feature,S,bootstrap,,,,,2026-08-10T21:45:00-03:00,2026-08-10T23:55:00-03:00
TCK-0008,install-github-ci-workflows,Instalar CI: docs/ci → .github/workflows,done,medium,feature,S,bootstrap,,,,,2026-08-10T21:45:00-03:00,2026-08-10T23:55:00-03:00
TCK-0009,epic-phase0-streaming-mvp,Épico: Phase 0 → streaming on-device (SPC-0001),done,high,feature,L,bootstrap,,,,,2026-08-10T21:45:00-03:00,2026-08-10T23:55:00-03:00
TCK-0010,epic-phase3-full-surface,"Épico: Phase 3 full surface (U2–U5, schema, multimodal)",done,medium,feature,L,bootstrap,,,,,2026-08-10T21:45:00-03:00,2026-08-10T23:55:00-03:00
TCK-0011,epic-phase4-tools,Épico: Phase 4 tool calling (U7),done,medium,feature,L,bootstrap,,,,,2026-08-10T21:45:00-03:00,2026-08-10T23:55:00-03:00
TCK-0012,epic-phases-5-to-8,"Épico: Phases 5–8 (RAG, eval, MLX, ecosystem)",done,low,feature,L,bootstrap,,,,,2026-08-10T21:45:00-03:00,2026-08-10T23:55:00-03:00
TCK-0013,upstream-u2-count-tokens,U2 — countTokens / context overflow no bridge,done,medium,feature,M,bootstrap,,,,,2026-08-10T21:45:00-03:00,2026-08-10T23:55:00-03:00
TCK-0014,upstream-u5-session-prewarm-transition,U5 — session transition / prewarm / history,done,medium,feature,M,bootstrap,,,,,2026-08-10T21:45:00-03:00,2026-08-10T23:55:00-03:00
TCK-0015,foundationmodels-swift-mirror,Criar/publicar mirror foundationmodels-swift para distribuição,done,medium,feature,M,bootstrap,,,,,2026-08-10T21:45:00-03:00,2026-08-10T23:55:00-03:00
TCK-0016,on-device-parity-smokes,On-device Apple Intelligence smokes + parity supported cells,blocked,high,feature,M,skeptic-gap-fix,,,,,2026-08-10T23:55:00-03:00,
TCK-0017,publish-foundationmodels-swift,Publish foundationmodels-swift GitHub mirror (vendored sources),open,medium,feature,M,skeptic-gap-fix,,,,,2026-08-10T23:55:00-03:00,
